id,title,subtitle,num principle/article,type
1,UNIDROIT Principles on Digital Assets and Private Law,General Principles,3(1),Principle
2,UNIDROIT Principles on Digital Assets and Private Law,Control,6,Principle
3,UNIDROIT Principles on Digital Assets and Private Law,Identification of a person in control of a digital asset,7,Principle
4,UNIDROIT Principles on Digital Assets and Private Law,Innocent aquisition,8,Principle
5,UNIDROIT Model Law on Factoring,Requirements for the transfer of a receivable,5(5),Article
6,UNIDROIT Model Law on Factoring,,8,Article
7,UNIDROIT Model Law on Factoring,,13,Article
8,UNIDROIT Model Law on Factoring,,27,Article
9,UNIDROIT Model Law on Factoring,,28,Article
10,UNIDROIT Model Law on Factoring,,29,Article
11,UNIDOIT Model Law on Factoring ,,19,Article